"portfolio_version","layer_id","public_layer","current_geometry_state","current_display_vertices","final_action","accepted_method","accepted_parameter","parent_artifact_key","source_parent_relative_path","parent_component","parent_sha256","candidate_bundle_key","candidate_sha256","geometry_rows","semantic_features","display_vertices","geometry_bytes","browser_geometry_bytes","cache_relative_path","cache_child","disclosure_required","public_disclosure","disclosure_ui_owner","runtime_group","label_dependency","registry_source","status"
3.1,"huc6","HUC6","whole-layer mapshaper keep 0.03",27584,"replace_geometry","rmapshaper::ms_simplify whole family in EPSG:3310; keep_shapes=TRUE","keep=0.02","huc_all_full","04_processed_data/rds/huc_all_full.rds","huc6","973cf9a8c6dd20e75f7eff4634a1911e11bc4f4d9b5f944788b2c3e209169491","candidates/huc6/mapshaper_keep_2pct_geometry_only.rds","b33e76ad883d4af1a0075346b7f26627721a78026a6c4094b1e3d35ef246c289",24,24,18756,249486,690408,"04_processed_data/cache/latest/huc_all_map.rds","huc6","yes","HUC6 boundaries are generalized for subregional watershed screening while retaining the complete unit set. Check authoritative source for boundary-sensitive use.","huc_theme_card","HUC6","labels_all_map.rds::huc6","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"huc8","HUC8","whole-layer mapshaper keep 0.03",46085,"replace_geometry","mapshaper-clean normalization followed by GEOSCoverageSimplifyVW in EPSG:3310 with exterior boundary generalized","200 m","huc_all_full","04_processed_data/rds/huc_all_full.rds","huc8","973cf9a8c6dd20e75f7eff4634a1911e11bc4f4d9b5f944788b2c3e209169491","candidates/huc8/geos_coverage_200m_boundary_generalized_geometry_only.rds","6e82609d52ad19ec128a22e5af4ff8df46f9eaf8e8aa15dfbc87ca58c2c55e29",140,140,80130,1019554,2950265,"04_processed_data/cache/latest/huc_all_map.rds","huc8","yes","HUC8 boundaries are generalized together so neighboring watersheds remain aligned while retaining useful basin character. Check authoritative source for boundary-sensitive use.","huc_theme_card","HUC8","labels_all_map.rds::huc8","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"huc10","HUC10","whole-layer mapshaper keep 0.03",123190,"replace_geometry","mapshaper-clean normalization followed by GEOSCoverageSimplifyVW in EPSG:3310 with exterior boundary generalized","200 m","huc_all_full","04_processed_data/rds/huc_all_full.rds","huc10","973cf9a8c6dd20e75f7eff4634a1911e11bc4f4d9b5f944788b2c3e209169491","candidates/huc10/geos_coverage_200m_boundary_generalized_geometry_only.rds","698c401e3b3415a5a9375d3605db22f15fa4d30ca775867b5d6552bac7f2bfe2",1128,1128,213067,2589365,7889761,"04_processed_data/cache/latest/huc_all_map.rds","huc10","yes","HUC10 boundaries are generalized together to keep adjacent watersheds aligned while supporting detailed screening. Check authoritative source for boundary-sensitive use.","huc_theme_card","HUC10","labels_all_map.rds::huc10","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"huc12","HUC12","whole-layer mapshaper keep 0.03",259996,"replace_geometry","mapshaper-clean normalization followed by GEOSCoverageSimplifyVW in EPSG:3310 with exterior boundary generalized","200 m","huc_all_full","04_processed_data/rds/huc_all_full.rds","huc12","973cf9a8c6dd20e75f7eff4634a1911e11bc4f4d9b5f944788b2c3e209169491","candidates/huc12/geos_coverage_200m_boundary_generalized_geometry_only.rds","f1cc08c67ea031ad5b4a5d5564f95bfc3abb001604fa6bc8da3fcbd83f8272c6",5065,5065,422635,5100092,15686710,"04_processed_data/cache/latest/huc_all_map.rds","huc12","yes","HUC12 boundaries retain the most local watershed detail and are generalized together so shared edges stay aligned. Check authoritative source for boundary-sensitive use.","huc_theme_card","HUC12","labels_all_map.rds::huc12","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"wsr_corridor_blm","WSR corridors | BLM-CA","whole-layer mapshaper keep 0.06",16093,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","5 m","reference_wsr_corridor_blm_wgs84","04_processed_data/rds/reference_wsr_corridor_blm_wgs84.rds",,"9cd52249777eee065f6c7c8c93f78b6466a3342422c93d1a0613d75f3aa7c753","candidates/wsr_corridor_blm/5m_geometry_only.rds","a79c3b3dea2dbc0a78b560b37c581a978f6d9e9fe0d2d7c05beb2f3db16c6dec",194,194,36686,478948,1704725,"04_processed_data/cache/latest/reference_layers_all_map.rds","wsr_corridor_blm","yes","BLM-published Wild and Scenic River corridor polygons retain detailed screening shape while being optimized for map use. Check authoritative source for boundary-sensitive use.","wsr_reference_card","Wild & Scenic River corridors | BLM-CA",,"00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"wsr_corridor_lsrs_area","WSR corridors | USFS/LSRS areas","whole-layer mapshaper keep 0.06",8764,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","5 m","reference_wsr_corridor_lsrs_area_wgs84","04_processed_data/rds/reference_wsr_corridor_lsrs_area_wgs84.rds",,"35ebde61f261c0c2f0f523ec884f70fd7270a21eb3f1f3fe3f53e495fb1e9806","candidates/wsr_corridor_lsrs_area/5m_geometry_only.rds","4026f22027951d131e8bead947588d5db7c59e226de7812b429df6a562b5c5cf",49,49,36306,479261,1669268,"04_processed_data/cache/latest/reference_layers_all_map.rds","wsr_corridor_lsrs_area","yes","USFS/LSRS Wild and Scenic River area boundaries retain corridor detail while being optimized for screening. Check authoritative source for boundary-sensitive use.","wsr_reference_card","Wild & Scenic River corridors | USFS/LSRS areas",,"00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"wsr_corridor_lsrs_status","WSR legal-status corridors | USFS/LSRS","whole-layer mapshaper keep 0.06",8763,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","5 m","reference_wsr_corridor_lsrs_status_wgs84","04_processed_data/rds/reference_wsr_corridor_lsrs_status_wgs84.rds",,"f0a966c5e5eb5b5ef6a696be73b07f2bd261cc0eede9917734b1336cb7bc74c8","candidates/wsr_corridor_lsrs_status/5m_geometry_only.rds","b6f5f7a2bd73f6da945e150a3b89c6bb92dbb522228ce4e2c0fb4e272877f092",53,53,36309,479770,1669893,"04_processed_data/cache/latest/reference_layers_all_map.rds","wsr_corridor_lsrs_status","yes","USFS/LSRS legal-status corridor boundaries retain classification detail while being optimized for screening. Check authoritative source for boundary-sensitive use.","wsr_reference_card","Wild & Scenic River legal-status corridors | USFS/LSRS",,"00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"national_monuments","National Monuments","fixed-tolerance 1 m display derivative",175540,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","20 m","national_monuments_reconstructed_0m","research_provenance/national_monuments_0m/reference_monuments_wgs84_current_candidate.rds",,"d9c593138ed6a259b310c90f68c414fc9847d7ba192158e0c81d1d09fa724d83","candidates/national_monuments/20m_geometry_only.rds","1aefcdacda825c8268b6b6c9cd0a73ccd8110cdacf344df9b73785d458aa0bd0",22,20,106888,1111742,4313867,"04_processed_data/cache/latest/reference_layers_all_map.rds","monuments","yes","National Monument display boundaries retain meaningful boundary character while being optimized for statewide screening. Check authoritative source for boundary-sensitive use.","local_reference_card","National Monuments","labels_all_map.rds::monuments","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"ca_desert_ncl","California Desert National Conservation Lands","fixed-tolerance 2 m display derivative",32168,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","20 m","ca_desert_ncl_reconstructed_0m","research_provenance/ca_desert_ncl_0m.rds",,"9bb85dca40015f111f72d2604a4dc0895f5f32769728175852d979348315fc92","candidates/ca_desert_ncl/20m_geometry_only.rds","f4f579605d34d0d50b6b302a753b9475cd6825e84fb465434639ad58510e48f3",11,11,14021,185484,519698,"04_processed_data/cache/latest/reference_layers_all_map.rds","cadesert_ncl","yes","California Desert conservation-land boundaries retain unit character while being optimized for regional screening. Check authoritative source for boundary-sensitive use.","local_reference_card","CA Desert National Conservation Lands","labels_all_map.rds::cadesert_ncl","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"wilderness_study_areas","Wilderness Study Areas","unsimplified / clean-only",88726,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","20 m","reference_wildernessstudyarea_wgs84","04_processed_data/rds/reference_wildernessstudyarea_wgs84.rds",,"484e9f7d419c448da16673d7d8c7a0980efdd8717565875d8a62be3dd36e2959","candidates/wilderness_study_areas/20m_geometry_only.rds","0f34f5860e082b27c937afe4b04de48b9e89210d0e0df154b08e5980e19fd97a",63,63,7425,98103,275289,"04_processed_data/cache/latest/reference_layers_all_map.rds","wildernessstudyarea","yes","Wilderness Study Area boundaries retain the complete reviewed unit set while being optimized for screening. Check authoritative source for boundary-sensitive use.","local_reference_card","Wilderness Study Areas","labels_all_map.rds::wildernessstudyarea","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"federal_wilderness","Federal Wilderness","whole-layer mapshaper keep 0.50",390055,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","10 m","reference_fedwilderness_wgs84_keep1","04_processed_data/rds/archive/reference_fedwilderness_wgs84_keep1_20260806_1102.rds",,"ce3d7a3a941f0cecb75a27ef6fce67eac9c5426d2506bbd4e52c207605120ddc","candidates/federal_wilderness/10m_geometry_only.rds","3ffad4ac8855c5af7442d9ca407ea316482371d97779a13f81878d58d03f22cd",197,158,123737,1623853,4571750,"04_processed_data/cache/latest/reference_layers_all_map.rds","fedwilderness","yes","Federal Wilderness boundaries retain detailed component geometry while being optimized for screening and agency comparison. Check authoritative source for boundary-sensitive use.","local_reference_card","Federal Wilderness","labels_all_map.rds::fedwilderness","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"drecp","DRECP Planning Area Boundary","unsimplified / clean-only",16042,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","100 m","reference_drecp_wgs84","04_processed_data/rds/reference_drecp_wgs84.rds",,"c64980a0f4b286a952fbe21ff6e023fa587c31b701dbd8351d4c3bb26b589a47","candidates/drecp/100m_geometry_only.rds","13a3ae41336555ca5343e2792734100977e549a99c4faa675aa31b757e1520a3",1,1,2130,30241,78369,"04_processed_data/cache/latest/reference_layers_all_map.rds","drecp","yes","The DRECP planning-area boundary is broadly generalized because it is used for regional desert-planning context. Check authoritative source for boundary-sensitive use.","local_reference_card","DRECP Planning Area Boundary",,"00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"acec","Areas of Critical Environmental Concern","fixed-tolerance 1 m display derivative",61066,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","20 m","acec_reconstructed_0m","research_provenance/acec_geometry_0m.rds",,"9987960b2ff5f3a0ddf7e345543bc5fd8d75f6df2e9050043fc542e4775e5ee6","candidates/acec/20m_geometry_only.rds","04d413ff6a24212b2bbfe493b95886edf050d97a3a657be4ac42cc9249732997",238,238,22840,296132,855209,"04_processed_data/cache/latest/reference_layers_all_map.rds","acec","yes","ACEC boundaries retain detailed screening character while being optimized for responsive planning review. Check authoritative source for boundary-sensitive use.","local_reference_card","ACECs","labels_all_map.rds::acec","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"grazing_allotments","Grazing Allotments","unsimplified / clean-only",122648,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310","25 m","reference_allotments_wgs84","04_processed_data/rds/reference_allotments_wgs84.rds",,"7cf574a2a21b86135dad6dd903b75f3cafac9168c27140f49018825f3984fd4c","candidates/grazing_allotments/25m_geometry_only.rds","16223e6a6a6c622904386b482df04bf1f33d4589836de01fe962c184c1b0d3a4",694,694,31906,394766,1187229,"04_processed_data/cache/latest/reference_layers_all_map.rds","allotments","yes","Grazing allotment boundaries retain the reviewed allotment records while being optimized for local screening. Check authoritative source for boundary-sensitive use.","local_reference_card","Grazing Allotments","labels_all_map.rds::allotments","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"counties","Counties","whole-layer mapshaper keep 0.05",72534,"retain_current","rmapshaper::ms_simplify (current display)","keep=0.05","county_full","04_processed_data/rds/county_full.rds",,"58d65b3c7e5bca74f052d36ac403dbf54045c6c5474f906972190ce4afabd6b3",,,58,58,72534,970440,2669736,"04_processed_data/cache/latest/county_map.rds",,"yes","County boundaries use generalized display geometry for statewide administrative context and responsive map use. Check authoritative source for boundary-sensitive use.","local_reference_card","Counties","labels_all_map.rds::county","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"rwqcb_regions","RWQCB Regions","unsimplified / clean-only (keep 1.00 means 100%, not 1%)",212739,"replace_geometry","near-lossless whole-family mapshaper-clean normalization followed by GEOSCoverageSimplifyVW at 100 m with exterior boundary generalized","100 m","rwqcb_regions_wgs84","04_processed_data/rds/rwqcb_regions_wgs84.rds",,"eed19723ff84af5f9b5f6c6fd041bc8ef0f3c3e96262d36e7b3aa6bb4a0795e8","candidates/rwqcb_regions/geos_coverage_100m_boundary_generalized_geometry_only.rds","b7c263024b9c6cd296b063a9386d589b8d89e4fb4cc937c0e32aea9a37e3850e",9,9,32031,435943,1178655,"04_processed_data/cache/latest/rwqcb_regions_map.rds",,"yes","Regional Board boundaries are generalized for broad statewide regulatory screening while keeping neighboring regions aligned. Check authoritative source for boundary-sensitive use.","local_reference_card","RWQCB Regions","labels_all_map.rds::rwqcb_regions","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"water_districts","Water Districts","whole-layer mapshaper keep 0.12",387387,"retain_current","rmapshaper::ms_simplify (current display)","keep=0.12","water_districts_wgs84","04_processed_data/rds/water_districts_wgs84.rds",,"152f8e7a305c3e7e2eb95040ba4fdb81e54acaf5ebcab7dcf2eaa7a816a75594",,,3483,3483,387387,4953617,13882769,"04_processed_data/cache/latest/water_districts_map.rds",,"yes","Water district boundaries use generalized display geometry to keep this dense statewide layer responsive while retaining district records. Check authoritative source for boundary-sensitive use.","local_reference_card","Water Districts","labels_all_map.rds::water_districts","00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"nps_national_parks_context","NPS National Parks context","mixed 2 m boundary / 5 m land-interest display derivative",42254,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310 from reviewed 0 m parent","25 m","nps_context_postmask_0m","research_provenance/nps_context_postmask_0m/nps_park_preserve_context_candidate.rds","national_park","e09896ff1c1a323bea7d617fc300e6f95699427f5328cfeb839439cbc62016bf","candidates/nps_national_parks_context/25m_geometry_only.rds","cbcb9c2c537e6f0cd9b9b9b6574071f2eebc7d99fe015d266ec953c1df481646",18,9,15899,206368,580744,"04_processed_data/cache/latest/nps_park_preserve_context_map.rds","national_park","yes","National Park context boundaries retain recognizable park and land-interest patterns while being optimized for optional screening context. Check authoritative source for boundary-sensitive use.","national_monuments_nps_context_section","Reference – National Monuments – NPS context – National Parks",,"00_config/polygon_generalization_portfolio_v3.csv","PASS"
3.1,"nps_national_preserve_context","NPS National Preserve context","mixed 2 m boundary / 5 m land-interest display derivative",4179,"replace_geometry","sf::st_simplify(preserveTopology=TRUE) in EPSG:3310 from reviewed 0 m parent","25 m","nps_context_postmask_0m","research_provenance/nps_context_postmask_0m/nps_park_preserve_context_candidate.rds","national_preserve","e09896ff1c1a323bea7d617fc300e6f95699427f5328cfeb839439cbc62016bf","candidates/nps_national_preserve_context/25m_geometry_only.rds","68c2d6e56791689dc12791187c7d2b6710a592b255de573951f40406b76197ea",2,1,3085,37848,115235,"04_processed_data/cache/latest/nps_park_preserve_context_map.rds","national_preserve","yes","National Preserve context boundaries retain Mojave's park-versus-land-interest distinction while being optimized for optional screening context. Check authoritative source for boundary-sensitive use.","national_monuments_nps_context_section","Reference – National Monuments – NPS context – National Preserves",,"00_config/polygon_generalization_portfolio_v3.csv","PASS"
